job_id,dataset,width,depth,gain,lr,batch_size,max_epochs,seed,train_state,eval_state,plots_state,final_train_acc,final_test_acc,best_test_acc,rho_all,rho_unsat,number_correct,number_eval_samples,updated_at
mnist_w20_d16_g1_lr0p05_bs8192_ep500_seed0,mnist,20,16,1.0,0.05,8192,500,0,done,done,done,0.9719,0.9522,0.954,-0.8242115585770589,-0.8242115585770589,1882,2000,2026-04-02T10:16:20.449699+00:00
mnist_w20_d16_g1_lr0p05_bs8192_ep500_seed1,mnist,20,16,1.0,0.05,8192,500,1,done,done,done,0.9706166666666667,0.9505,0.9519,-0.8347709176868324,-0.8347709176868324,1883,2000,2026-04-02T10:16:20.611754+00:00
mnist_w20_d16_g1_lr0p05_bs8192_ep500_seed2,mnist,20,16,1.0,0.05,8192,500,2,done,done,done,0.9718333333333333,0.9511,0.9517,-0.8314411956470633,-0.8312433054328633,1864,2000,2026-04-02T10:16:20.650627+00:00
mnist_w20_d16_g1_lr0p05_bs8192_ep500_seed3,mnist,20,16,1.0,0.05,8192,500,3,done,done,done,0.97115,0.952,0.9558,-0.8469167033965043,-0.8469167033965043,1888,2000,2026-04-02T10:16:20.846182+00:00
mnist_w20_d16_g1_lr0p05_bs8192_ep500_seed4,mnist,20,16,1.0,0.05,8192,500,4,done,done,done,0.9706333333333333,0.9517,0.9525,-0.8528091504024481,-0.8528091504024481,1878,2000,2026-04-02T10:16:20.888820+00:00
mnist_w20_d4_g1_lr0p05_bs8192_ep500_seed0,mnist,20,4,1.0,0.05,8192,500,0,done,done,done,0.9680333333333333,0.9547,0.9548,-0.8083373209425809,-0.8083373209425809,1886,2000,2026-04-02T10:16:19.474627+00:00
mnist_w20_d4_g1_lr0p05_bs8192_ep500_seed1,mnist,20,4,1.0,0.05,8192,500,1,done,done,done,0.9657333333333333,0.9543,0.9547,-0.7814399721609648,-0.7814399721609648,1882,2000,2026-04-02T10:16:19.573709+00:00
mnist_w20_d4_g1_lr0p05_bs8192_ep500_seed2,mnist,20,4,1.0,0.05,8192,500,2,done,done,done,0.9658333333333333,0.9524,0.9534,-0.7993293276431578,-0.7993293276431578,1886,2000,2026-04-02T10:16:19.623316+00:00
mnist_w20_d4_g1_lr0p05_bs8192_ep500_seed3,mnist,20,4,1.0,0.05,8192,500,3,done,done,done,0.9676333333333333,0.9556,0.9556,-0.8038806794610535,-0.8038806794610535,1890,2000,2026-04-02T10:16:19.714683+00:00
mnist_w20_d4_g1_lr0p05_bs8192_ep500_seed4,mnist,20,4,1.0,0.05,8192,500,4,done,done,done,0.96785,0.9601,0.9609,-0.8194002492753634,-0.8194002492753634,1892,2000,2026-04-02T10:16:19.844810+00:00
mnist_w20_d8_g1_lr0p05_bs8192_ep500_seed0,mnist,20,8,1.0,0.05,8192,500,0,done,done,done,0.9651333333333333,0.9532,0.9559,-0.856056627232602,-0.856056627232602,1888,2000,2026-04-02T10:16:20.208301+00:00
mnist_w20_d8_g1_lr0p05_bs8192_ep500_seed1,mnist,20,8,1.0,0.05,8192,500,1,done,done,done,0.9745333333333334,0.9579,0.9585,-0.8609399124296488,-0.8609399124296488,1903,2000,2026-04-02T10:16:20.251374+00:00
mnist_w20_d8_g1_lr0p05_bs8192_ep500_seed2,mnist,20,8,1.0,0.05,8192,500,2,done,done,done,0.9719333333333333,0.9563,0.9563,-0.8580656587660216,-0.8580656587660216,1880,2000,2026-04-02T10:16:20.307369+00:00
mnist_w20_d8_g1_lr0p05_bs8192_ep500_seed3,mnist,20,8,1.0,0.05,8192,500,3,done,done,done,0.9735166666666667,0.9534,0.9538,-0.8483684965248456,-0.8483684965248456,1885,2000,2026-04-02T10:16:20.356902+00:00
mnist_w20_d8_g1_lr0p05_bs8192_ep500_seed4,mnist,20,8,1.0,0.05,8192,500,4,done,done,done,0.97475,0.9569,0.9589,-0.888665747543833,-0.888665747543833,1889,2000,2026-04-02T10:16:20.417366+00:00
